Key,English,Chinese
SceneAnatomy.1,The journal of food in the body,食道在体内的旅行
SceneAnatomy.2,The main digestive organs,主要消化器官
SceneAnatomy.3,Oral cavity,口腔
SceneAnatomy.4,Oeso-phagus,食道
SceneAnatomy.5,Small intestine,小肠
SceneAnatomy.6,Large intestine,大肠
